Name and Cultivars or Varieties (sorted by name),Units,$/Unit,U/SF,$/kg,kg/sf,kg/m3,lb/kg,oz/kg,
"Artichoke, Globe {Cynara cardunculus Scolymus Group",lb,6.38,0.61,14.08388521,0.27633,2.97413979,0.453,0.0283,10.763
Arugula-Roquette {Eruca vesicaria subsp. sativa},oz,0.6,31.67,21.20141343,0.896261,9.646457143,,,
Asparagus Pea {Tetragonolobus purpureus or Psophocarpus tetragonolobus},oz,2.4,1,84.80565371,0.0283,0.3045929,,,
Basil {Ocimum basilicum}: 'Cinnamon',oz,1.2,5.28,42.40282686,0.149424,1.608250512,,,
Basil {Ocimum basilicum}: 'Italian Large Leaf',oz,1,9.1,35.33568905,0.25753,2.77179539,,,
"Bean, Bush {Phaseolus vulgaris}: 'Cupidon'",lb,3,0.76,6.622516556,0.34428,3.70548564,,,
"Bean, Bush {Phaseolus vulgaris}: 'Royal Burgundy'",lb,3,0.8,6.622516556,0.3624,3.9005112,,,
"Bean, Bush {Phaseolus vulgaris}: 'Sonesta'",lb,3.6,0.88,7.947019868,0.39864,4.29056232,,,
"Bean, Runner {Phaseolus coccineus: (1) Scarlet unknown var. [fr. Ed Hume]",lb,3.6,1.82,7.947019868,0.82446,8.87366298,,,
"Bean, Snap Pole {Phaseolus vulgaris}: 'Kentucky Wonder'",lb,3.99,1.42,8.80794702,0.64326,6.92340738,,,
Beet {Beta vulgaris}: 'Bull's Blood',lb,3,0.99,6.622516556,0.44847,4.82688261,,,
Beet {Beta vulgaris}: 'Early Wonder Tall Top',lb,1.25,2.97,2.759381898,1.34541,14.48064783,,,
Beet {Beta vulgaris}: 'Golden Detroit',lb,2.99,1.97,6.600441501,0.89241,9.60500883,,,
Beet {Beta vulgaris}: 'Lutz Green Leaf',lb,3,0.57,6.622516556,0.25821,2.77911423,,,
Beet {Beta vulgaris}: 'Red Ace',lb,3,2.29,6.622516556,1.03737,11.16521331,,,
Broccoli {Brassica oleracea ...}: 'Umpqua',lb,1.99,0.39,4.392935982,0.17667,1.90149921,,,
"Broccoli Raab/Rabe {Brassica rapa, Ruvo group}: 'Zamboni'",lb,2.99,4.84,6.600441501,2.19252,23.59809276,,,
"Broccoli, Chinese {Brassica oleracea, Alboglabra group}: 'Emerald Fall Gai Lan'",lb,2.4,0.32,5.298013245,0.14496,1.56020448,,,
"Brussels Sprouts {Brassica oleracea, Gemmifera group}: 'Long Island Improved'",lb,4.8,1.2,10.59602649,0.5436,5.8507668,,,
Cabbage {Brassica oleracea}: 'Pixie',lb,1.2,0.47,2.649006623,0.21291,2.29155033,,,
"Cabbage, Chinese Napa {Brassica rapa, Pekinensis group}: 'Minuet'",lb,2.99,1.48,6.600441501,0.67044,7.21594572,,,
"Cabbage, Savoy {Brassica oleracea}: 'Ormskirk'",lb,1.99,0.8,4.392935982,0.3624,3.9005112,,,
Carrots {Daucus carota subspecies sativa}: (1) 'Bolero' F1 (2) 'Sugarsnax 54' F1,lb,2.99,0.66,6.600441501,0.29898,3.21792174,,,
Carrots {Daucus carota subspecies sativa}: 'Nelson' F1,lb,2.99,3.55,6.600441501,1.60815,17.30851845,,,
"Chard, Swiss {Beta vulgaris, Cicla group}: (1) 'Bright Yellow' (2) 'Charlotte' (3) 'Fordhook Giant'",lb,2.5,2.2,5.518763797,0.9966,10.7264058,,,
Chives {Allium schoenoprasum},oz,3.32,4,117.3144876,0.1132,1.2183716,,,
"Choi, Pac/Bok {Brassica rapa var. Chinensis}: 'Joi Choi'",lb,1.99,1.52,4.392935982,0.68856,7.41097128,,,
"Choi, Pac/Bok {Brassica rapa var. Chinensis}: Snow man Baby bok choy",lb,2.99,1.93,6.600441501,0.87429,9.40998327,,,
Cilantro {Coriandrum sativum}: Slow bolting,oz,0.25,21.21,8.833922261,0.600243,6.460415409,,,
Corn Salad {Valerianella locusta L.},oz,1.6,6.75,56.53710247,0.191025,2.056002075,,,
Cucumber {Cucumis sativus}: (1) 'Diva' (2) 'Northern Pickling' (3) 'Cool Breeze',lb,2.99,3.2,6.600441501,1.4496,15.6020448,,,
Dill {Anethum graveolens}: 'Bouquet',oz,0.62,4.02,21.90812721,0.113766,1.224463458,,,
Eggplant {Solanum melongena}: (1) 'Fairy tale' (2) Italian Black Bell,lb,3.99,0.93,8.80794702,0.42129,4.53434427,,,
"Eggplant, Japanese {Solanum melongena}: 'Little Fingers'",lb,3.99,1.12,8.80794702,0.50736,5.46071568,,,
"Endive, Batavian {Cichorium endiva}",lb,6.99,1.04,15.43046358,0.47112,5.07066456,,,
Garlic {Allium sativum L.}: 'California Giant',lb,8.99,0.19,19.84547461,0.08607,0.92637141,,,
"Grass, Lemon {Cymbopogon citratus}",lb,4.99,1,11.01545254,0.453,4.875639,,,
"Greens, All Greens Mix: Green Salad Mix",lb,6.99,3.93,15.43046358,1.78029,19.16126127,,,
"Greens, Mustard {Brassica juncea}: 'Green Wave'",lb,2.95,0.47,6.51214128,0.21291,2.29155033,,,
"Kale {Brassica oleracea, Acephala Group}: (1) 'Nero Di Toscana'",lb,2.5,1.35,5.518763797,0.61155,6.58211265,,,
"Kohlrabi {Brassica oleracea, Gongylodes group}: 'Kolibri' Hybrid",lb,1.8,0.5,3.973509934,0.2265,2.4378195,,,
"Leeks {Allium ampeloprasum, Porrum group; or Allium porrum}:",lb,3,0.62,6.622516556,0.28086,3.02289618,,,
"Leeks {Allium ampeloprasum, Porrum group; or Allium porrum}: 'Lancelot'",lb,2.99,0.68,6.600441501,0.30804,3.31543452,,,
Lettuce (Lactuca sativa Quercifolia Group): 'Radichetta',lb,4.8,0.91,10.59602649,0.41223,4.43683149,,,
"Lettuce, Spring/Fall Mixed {Lactuca sativa}: 8 cultivars",lb,8.4,1.53,18.54304636,0.69309,7.45972767,,,
"Lettuce, Summer Mixed {Lactuca sativa}: 7 cultivars",lb,1.99,2.67,4.392935982,1.20951,13.01795613,,,
"Lettuce, Winter Mixed {Lactuca sativa}: 4 cultivars",lb,4,1.16,8.830022075,0.52548,5.65574124,,,
"Onion, Bulb {Allium cepa L.}: (1) 'Copra' yellow (2) Ruby Red",lb,1.99,2.1,4.392935982,0.9513,10.2388419,,,
"Onion, Bulb Cipollini {Allium cepa}: Borettana/Borrettana Cipollini",lb,6,0.82,13.24503311,0.37146,3.99802398,,,
"Onion, Bunching {Allium fistulosum}: 'Evergreen White Bunching'",oz,0.08,22.98,2.826855124,0.650334,6.999544842,,,
Parsley {Petroselinum crispum}: 'Krausa',oz,0.22,4.12,7.77385159,0.116596,1.254922748,,,
Parsnips {Pastinaca sativa}: 'Harris Model',lb,3.6,0.5,7.947019868,0.2265,2.4378195,,,
