Name and Cultivars or Varieties (sorted by name),$/kg,kg/m3,$/m3
"Spinach, Spring/Fall {Spinacia oleracea}: (1) Leafy Shield Hybrid (2) 'Space' F1",5.298013245,0.34129473,1.808184
Cabbage {Brassica oleracea}: 'Pixie',2.649006623,2.29155033,6.070332
"Broccoli, Chinese {Brassica oleracea, Alboglabra group}: 'Emerald Fall Gai Lan'",5.298013245,1.56020448,8.265984
Broccoli {Brassica oleracea ...}: 'Umpqua',4.392935982,1.90149921,8.3531643
"Kohlrabi {Brassica oleracea, Gongylodes group}: 'Kolibri' Hybrid",3.973509934,2.4378195,9.6867
Parsley {Petroselinum crispum}: 'Krausa',7.77385159,1.254922748,9.7555832
"Squash, Winter, Acorn {Cucurbita pepo}: (1) 'Table King' (2) 'Table Ace'",4.392935982,2.68160145,11.7801035
"Squash, Winter, Hubbard {Cucurbita maxima Hubbard Group}: Blue",5.298013245,2.77911423,14.723784
Rutabaga {Brassica napus or napobrassica}: 'Marian',6.600441501,2.24279394,14.8034302
"Greens, Mustard {Brassica juncea}: 'Green Wave'",6.51214128,2.29155033,14.9228995
"Cabbage, Savoy {Brassica oleracea}: 'Ormskirk'",4.392935982,3.9005112,17.134696
Garlic {Allium sativum L.}: 'California Giant',19.84547461,0.92637141,18.3842803
Beet {Beta vulgaris}: 'Lutz Green Leaf',6.622516556,2.77911423,18.40473
Parsnips {Pastinaca sativa}: 'Harris Model',7.947019868,2.4378195,19.3734
"Onion, Bunching {Allium fistulosum}: 'Evergreen White Bunching'",2.826855124,6.999544842,19.7866992
"Leeks {Allium ampeloprasum, Porrum group; or Allium porrum}:",6.622516556,3.02289618,20.01918
Carrots {Daucus carota subspecies sativa}: (1) 'Bolero' F1 (2) 'Sugarsnax 54' F1,6.600441501,3.21792174,21.2397042
"Peas, English {Pisum sativum}: 'Waverex'",7.947019868,2.68160145,21.31074
"Leeks {Allium ampeloprasum, Porrum group; or Allium porrum}: 'Lancelot'",6.600441501,3.31543452,21.8833316
"Spinach, Spring/Fall {Spinacia oleracea}: (1) 'Bloomsdale Savoy'",5.298013245,4.24180593,22.473144
"Bean, Bush {Phaseolus vulgaris}: 'Cupidon'",6.622516556,3.70548564,24.53964
Asparagus Pea {Tetragonolobus purpureus or Psophocarpus tetragonolobus},84.80565371,0.3045929,25.8312
"Bean, Bush {Phaseolus vulgaris}: 'Royal Burgundy'",6.622516556,3.9005112,25.8312
"Squash, Winter, Delicata {Cucurbita pepo}: (1) 'Bush Delicata' (2)'Delicata' (vining)",7.947019868,3.36419091,26.735292
Dill {Anethum graveolens}: 'Bouquet',21.90812721,1.224463458,26.8257012
"Squash, Summer, Yellow {Cucurbita moschata}: 'Yellow Crookneck'",6.600441501,4.3880751,28.963233
Beet {Beta vulgaris}: 'Bull's Blood',6.622516556,4.82688261,31.96611
"Choi, Pac/Bok {Brassica rapa var. Chinensis}: 'Joi Choi'",4.392935982,7.41097128,32.5559224
"Bean, Bush {Phaseolus vulgaris}: 'Sonesta'",7.947019868,4.29056232,34.097184
"Radish, Red {Raphanus sativus}: (1) 'Cherry Belle'",4.392935982,8.09356074,35.5544942
"Kale {Brassica oleracea, Acephala Group}: (1) 'Nero Di Toscana'",5.518763797,6.58211265,36.325125
Potato {Solanum tuberosum}: (1) 'Red Cloud' (2) 'Yellow Finn',5.165562914,7.16718933,37.0225674
"Peas, Edible Pod {Pisum sativum var. macrocarpon}: 'Super Sugar Snap'",15.43046358,2.48657589,38.3690187
Eggplant {Solanum melongena}: (1) 'Fairy tale' (2) Italian Black Bell,8.80794702,4.53434427,39.9382641
Beet {Beta vulgaris}: 'Early Wonder Tall Top',2.759381898,14.48064783,39.9576375
"Squash, Winter, Butternut {Cucurbita moschata}: (1) 'Waltham' (2) 'Early Butternut'",5.298013245,7.75226601,41.071608
"Artichoke, Globe {Cynara cardunculus Scolymus Group",14.08388521,2.97413979,41.8874434
"Radish, White {Raphanus sativus; Daikon}: (1) 'Icicle'",4.392935982,9.89754717,43.4792911
"Onion, Bulb {Allium cepa L.}: (1) 'Copra' yellow (2) Ruby Red",4.392935982,10.2388419,44.978577
"Pepper, Bell {Capsicum annuum var annuum }: 'NorthStar'",15.43046358,2.97413979,45.8923557
